time,open,high,low,close,volume
2021-02-08 20:00:00,59.79,59.8,58.9,59.5,59342
2021-02-08 19:00:00,59.59,59.8,59.35,59.78,48284
2021-02-08 18:00:00,59.5,59.7,59.35,59.6,49595
2021-02-08 17:00:00,60.0,60.0,58.56,59.59,125655
2021-02-08 16:00:00,58.88,60.5,58.22,59.9599,2398342
2021-02-08 15:00:00,59.68,59.76,58.3,58.8001,1732289
2021-02-08 14:00:00,60.15,70.89,59.25,59.6623,2049682
2021-02-08 13:00:00,59.6273,60.75,58.68,60.15,2303742
2021-02-08 12:00:00,60.745,61.41,58.02,59.65,2756141
2021-02-08 11:00:00,64.61,70.6,58.27,60.75,6644364
2021-02-08 10:00:00,69.66,73.5,63.3512,64.65,6416151
2021-02-08 09:00:00,69.39,73.0,67.0,69.55,510176
2021-02-08 08:00:00,70.5,72.99,68.62,69.48,487428
2021-02-08 07:00:00,70.94,75.8,70.3,71.45,114092
2021-02-08 06:00:00,69.2,72.4,69.2,71.0,62237
2021-02-08 05:00:00,68.1,72.3,65.16,69.0,101916
2021-02-05 20:00:00,67.2,68.0,66.46,66.46,219967
2021-02-05 19:00:00,69.56,72.0,66.5,67.2,446454
2021-02-05 18:00:00,64.68,70.47,64.53,69.51,474841
2021-02-05 17:00:00,64.2,66.49,62.0,64.87,661446
2021-02-05 16:00:00,60.83,66.47,59.0,63.7601,6391620
2021-02-05 15:00:00,61.0,62.78,58.85,60.8201,3669503
2021-02-05 14:00:00,63.7383,64.5,57.26,61.0,5333488
2021-02-05 13:00:00,64.293,65.8899,58.86,63.55,6575072
2021-02-05 12:00:00,70.8226,74.45,61.54,64.39,11098383
2021-02-05 11:00:00,82.77,95.0,65.372,70.8185,25570439
2021-02-05 10:00:00,57.2,82.77,51.09,82.77,18334553
2021-02-05 09:00:00,59.09,59.99,54.56,57.16,1263843
2021-02-05 08:00:00,58.0,59.2,54.56,59.09,814732
2021-02-05 07:00:00,59.52,59.52,57.11,58.75,73464
2021-02-05 06:00:00,60.87,62.6,59.0,59.33,120105
2021-02-05 05:00:00,53.5,64.8,53.5,60.87,482352
2021-02-04 20:00:00,50.2,50.94,49.0,49.17,330166
2021-02-04 19:00:00,50.11,51.24,49.4,50.2,324645
2021-02-04 18:00:00,53.17,53.17,49.0,50.25,852877
2021-02-04 17:00:00,53.47,54.39,51.45,53.15,1109263
2021-02-04 16:00:00,58.2301,58.4999,53.33,53.378,7715884
2021-02-04 15:00:00,60.17,61.98,58.0,58.23,4745373
2021-02-04 14:00:00,64.4999,64.4999,57.2,60.0001,9840614
2021-02-04 13:00:00,68.7738,71.3,63.5,64.31,6187410
2021-02-04 12:00:00,71.2901,76.01,62.05,68.5801,15108904
2021-02-04 11:00:00,83.28,86.0,70.5,71.4,10233235
2021-02-04 10:00:00,95.0,95.6,81.05,83.39,5445140
2021-02-04 09:00:00,95.0,95.6,92.0,94.93,282231
2021-02-04 08:00:00,95.53,95.53,92.0,94.5,206725
2021-02-04 07:00:00,96.93,97.0,95.0,95.13,9214
2021-02-04 06:00:00,93.6,97.0,93.6,96.75,21014
2021-02-04 05:00:00,92.3,100.01,92.3,93.57,62367
2021-02-03 20:00:00,89.3,89.5,87.37,88.88,185122
2021-02-03 19:00:00,91.9,91.9,89.5,89.6,70643
2021-02-03 18:00:00,91.47,92.03,88.95,92.0,155305
2021-02-03 17:00:00,92.27,93.36,88.1,90.6,415551
2021-02-03 16:00:00,98.01,100.3745,90.59,92.0431,3790591
2021-02-03 15:00:00,107.01,107.7599,93.55,97.94,3877387
2021-02-03 14:00:00,99.7,109.5983,97.46,107.4999,5796189
2021-02-03 13:00:00,94.0,102.71,92.5,99.97,3996782
2021-02-03 12:00:00,99.0501,99.8799,90.5,93.55,3849656
2021-02-03 11:00:00,93.2799,104.35,85.25,99.43,8642022
2021-02-03 10:00:00,93.4,121.36,90.49,92.89,10032597
2021-02-03 09:00:00,89.82,96.8,85.26,93.35,763436
2021-02-03 08:00:00,91.11,94.5,85.25,89.86,728011
2021-02-03 07:00:00,96.3,99.9,90.01,91.44,163660
2021-02-03 06:00:00,87.35,106.0,85.0,96.0,341188
2021-02-03 05:00:00,78.33,88.75,73.31,87.2,262868
2021-02-02 20:00:00,90.0,90.5,85.0,85.2,288108
2021-02-02 19:00:00,92.0,94.0,88.0,90.0,232127
2021-02-02 18:00:00,88.82,96.0,86.01,92.0,476352
2021-02-02 17:00:00,90.76,93.89,85.33,88.78,843580
2021-02-02 16:00:00,99.8561,101.9599,88.0,90.47,5582379
2021-02-02 15:00:00,103.6001,110.5499,91.0,99.9,6042536
2021-02-02 14:00:00,118.2996,118.75,101.01,104.3724,4486108
2021-02-02 13:00:00,110.05,127.98,105.17,117.95,7738481
2021-02-02 12:00:00,91.0701,154.3999,90.0,114.85,15756996
2021-02-02 11:00:00,114.8882,125.0,74.2201,91.5,19988224
2021-02-02 10:00:00,127.5,162.0,101.3,115.0,13083953
2021-02-02 09:00:00,139.0,161.0,126.0,127.5,1956246
2021-02-02 08:00:00,158.24,162.65,137.01,138.7,1521962
2021-02-02 07:00:00,174.01,175.21,153.6,158.49,179575
2021-02-02 06:00:00,171.7,176.39,170.0,174.5,79576
2021-02-02 05:00:00,175.3,178.31,160.0,171.0,246548
2021-02-01 20:00:00,186.65,198.99,186.65,189.52,398808
2021-02-01 19:00:00,178.0,190.0,177.0,187.75,495863
2021-02-01 18:00:00,207.96,208.79,173.0,178.0,1577886
2021-02-01 17:00:00,225.46,231.0,206.0,207.55,626967
2021-02-01 16:00:00,240.1096,240.1096,214.66,227.0,4599470
2021-02-01 15:00:00,250.0,251.0,235.51,240.1828,2065638
2021-02-01 14:00:00,248.4599,253.8899,230.0,250.0,2997396
2021-02-01 13:00:00,259.0,262.5999,241.0,248.0,2502651
2021-02-01 12:00:00,236.775,280.0,232.9001,259.2,4810622
2021-02-01 11:00:00,270.0,284.0,212.0,237.39,9174759
2021-02-01 10:00:00,317.7,322.0,252.0,269.9999,6272754
2021-02-01 09:00:00,327.0,333.0,288.0501,317.8,689532
2021-02-01 08:00:00,327.42,331.9,288.07,323.35,921397
2021-02-01 07:00:00,338.0,345.0,326.06,328.18,88718
2021-02-01 06:00:00,347.0,356.36,326.05,337.0,113164
2021-02-01 05:00:00,356.1,384.89,321.75,348.0,286953
2021-01-29 20:00:00,316.0,321.1,312.0,312.01,171440
2021-01-29 19:00:00,306.11,320.0,303.0201,315.72,168467
2021-01-29 18:00:00,322.3,350.0,301.21,306.0,271764
2021-01-29 17:00:00,327.67,330.9,293.0001,322.02,1112924
2021-01-29 16:00:00,284.79,335.0,283.81,328.24,8550072
2021-01-29 15:00:00,275.95,306.95,250.0,283.5608,6658776
2021-01-29 14:00:00,328.1182,336.0,265.4801,276.1098,4781288
2021-01-29 13:00:00,339.8802,377.0,312.44,329.3264,5441582
2021-01-29 12:00:00,335.5999,344.99,312.04,340.1656,3975763
2021-01-29 11:00:00,317.7093,347.0,291.0,334.62,7499078
2021-01-29 10:00:00,363.01,413.98,291.57,317.37,8581801
2021-01-29 09:00:00,347.07,392.01,312.0098,362.79,1386429
2021-01-29 08:00:00,395.0,399.98,311.0,346.49,1305548
2021-01-29 07:00:00,385.0,400.0,360.0,395.01,151017
2021-01-29 06:00:00,420.0,420.0,380.0,389.05,142488
2021-01-29 05:00:00,360.0,470.0,355.98,425.94,459268
2021-01-28 20:00:00,347.0,355.9,305.99,311.99,894387
2021-01-28 19:00:00,280.33,348.86,280.33,347.01,1106541
2021-01-28 18:00:00,257.0,509.0,255.0,281.85,418746
2021-01-28 17:00:00,197.44,282.92,193.6,257.0,1543357
2021-01-28 16:00:00,246.1359,261.9899,197.44,197.44,5687714
