time,open,high,low,close,volume,Close - Open (Round to 2deci),High - Low (Round to 2deci)
1/27/2021 13:00,312.61,350,280,342.172,10028847,29.56,70
1/27/2021 12:00,371.182,380,312.61,312.61,14642683,-58.57,67.39
1/27/2021 11:00,310.32,380,249,371.82,17380005,61.5,131
1/27/2021 10:00,231.15,385,197.53,310.69,14868987,79.54,187.47
1/27/2021 9:00,230,273.4,197.53,231.5,2745116,1.5,75.87
1/27/2021 8:00,199.5,277,195,230,3114545,30.5,82
1/27/2021 7:00,351.89,353,182.55,197.89,1884752,-154,170.45
1/27/2021 6:00,299.5,365.42,293.01,351,1636973,51.5,72.41
1/27/2021 5:00,246.66,299.33,219.07,299.19,1420557,52.53,80.26
1/26/2021 20:00,225,227.19,207.95,209.51,696310,-15.49,19.24
1/26/2021 19:00,208.1,231.5,205.11,225,1538541,16.9,26.39
1/26/2021 18:00,224.6,248.9,203,208.14,4415925,-16.46,45.9
1/26/2021 17:00,146.2,244,138,224.45,11327636,78.25,106
1/26/2021 16:00,131.6913,150,127,145.965,33611620,14.27,23
1/26/2021 15:00,114.2538,143.89,112,131.845,32448423,17.59,31.89
1/26/2021 14:00,105.3137,124.5799,96.99,114.5499,31838143,9.24,27.59
1/26/2021 13:00,87.685,114.24,87.68,105.5556,20647463,17.87,26.56
1/26/2021 12:00,87.62,90.68,81,87.7999,7316533,0.18,9.68
1/26/2021 11:00,87.575,94,80.2,87.6101,16466769,0.04,13.8
1/26/2021 10:00,89,101.62,81.05,87.57,16354218,-1.43,20.57
1/26/2021 9:00,91.62,94.39,86.15,89.25,977656,-2.37,8.24
1/26/2021 8:00,88.89,94.39,86.39,91.51,910935,2.62,8
1/26/2021 7:00,89,91,87.5,88.5,58588,-0.5,3.5
1/26/2021 6:00,94.25,94.25,86.03,88.55,143907,-5.7,8.22
1/26/2021 5:00,90,100,90,94,269334,4,10
1/25/2021 20:00,82.9,90,82.9,88.87,685503,5.97,7.1
1/25/2021 19:00,81.71,158.09,81.65,82.8801,200184,1.17,76.44
1/25/2021 18:00,78.39,83.5,78.3,81.71,917538,3.32,5.2
1/25/2021 17:00,76.7698,79.75,72,78.5,919573,1.73,7.75
1/25/2021 16:00,77.19,132.45,71.1001,76.765,15181166,-0.42,61.35
1/25/2021 15:00,76.6241,96.1192,74.16,77.0001,17297869,0.38,21.96
1/25/2021 14:00,69.3,81.5,65.37,76.7499,17781046,7.45,16.13
1/25/2021 13:00,99.99,103,61.13,69.42,25133190,-30.57,41.87
1/25/2021 12:00,117.07,120,85.39,99.56,20758922,-17.51,34.61
1/25/2021 11:00,89.685,159.18,85,117.07,51720237,27.39,74.18
1/25/2021 10:00,98.265,103,86.32,89.76,19162322,-8.51,16.68
1/25/2021 9:00,91.71,104.53,86.9999,98.05,4674120,6.34,17.53
1/25/2021 8:00,94.48,97,86.72,91.65,2187519,-2.83,10.28
1/25/2021 7:00,96.93,101.7,90.35,94.43,784325,-2.5,11.35
1/25/2021 6:00,106.77,109,86.25,96.77,885972,-10,22.75
1/25/2021 5:00,72.5,136.63,72.2,105.39,1194735,32.89,64.43
1/22/2021 20:00,63.6,63.6,61,61,279826,-2.6,2.6
1/22/2021 19:00,64,64.88,62.35,63.7,152240,-0.3,2.53
1/22/2021 18:00,67.5,67.89,63.01,63.8,942544,-3.7,4.88
1/22/2021 17:00,65,68.46,62.4,67.6,2300243,2.6,6.06
1/22/2021 16:00,59.185,68,57.2,64.85,30044433,5.66,10.8
1/22/2021 15:00,54.9955,61.49,54.6,59.18,18935784,4.18,6.89
1/22/2021 14:00,70.385,71.99,54.46,55.1097,42170241,-15.28,17.53
1/22/2021 13:00,52.2,76.7573,52.0544,70.3,57852728,18.1,24.7
1/22/2021 12:00,47.687,53.95,46.78,52.2,23828721,4.51,7.17
1/22/2021 11:00,45.99,47.73,43.77,47.6795,11901110,1.69,3.96
1/22/2021 10:00,44.19,46.29,42.32,45.98,8174769,1.79,3.97
1/22/2021 9:00,44.7672,46.94,43.3,44.39,375581,-0.38,3.64
1/22/2021 8:00,44.81,46.94,44.05,45.25,185085,0.44,2.89
1/22/2021 7:00,44.76,45.2,44.3,44.4,11934,-0.36,0.9
1/22/2021 6:00,45.1,45.1,44.02,44.34,7190,-0.76,1.08
1/22/2021 5:00,44.66,45.5,44.14,45.1,35683,0.44,1.36
1/21/2021 20:00,45.31,47.47,45.23,45.35,584017,0.04,2.24
1/21/2021 19:00,43.9,45.45,43.38,45.39,320712,1.49,2.07
1/21/2021 18:00,42.81,43.9,42.5,43.5,166044,0.69,1.4
